Date,Positive,Presumptive +,Cases,New
3/1/2020,0,0,0,0
3/2/2020,0,1,1,1
3/3/2020,0,1,1,0
3/4/2020,0,1,1,0
3/5/2020,1,2,3,2
3/6/2020,1,7,8,5
3/7/2020,1,12,13,5
3/8/2020,1,27,28,15
3/9/2020,1,40,41,13
3/10/2020,1,91,92,51
3/11/2020,6,89,95,3
3/12/2020,6,102,108,13
3/13/2020,18,105,123,15
3/14/2020,19,119,138,15
3/15/2020,45,119,164,26
3/16/2020,197,0,197,33
3/17/2020,218,0,218,21
3/18/2020,256,0,256,38
3/19/2020,329,0,329,73
3/20/2020,414,0,414,85
3/21/2020,526,0,526,112
3/22/2020,647,0,647,121
3/23/2020,778,0,778,131
3/24/2020,1160,0,1160,382
3/25/2020,1839,0,1839,679
3/26/2020,2418,0,2418,579
3/27/2020,3251,0,3251,833
3/28/2020,4258,0,4258,1007
3/29/2020,4956,0,4956,698
3/30/2020,5753,0,5753,797
3/31/2020,6621,0,6621,868
4/1/2020,7739,0,7739,1118
4/2/2020,8967,0,8967,1228
4/3/2020,10403,0,10403,1436
4/4/2020,11737,0,11737,1334
4/5/2020,12502,0,12502,765
4/6/2020,13839,0,13839,1337
4/7/2020,15204,0,15204,1365
4/8/2020,16792,0,16792,1588
4/9/2020,18943,0,18943,2151
4/10/2020,20978,0,20978,2035
4/11/2020,22866,0,22866,1888
4/12/2020,25481,0,25481,2615
4/13/2020,26894,0,26894,1413
4/14/2020,28209,0,28209,1315
4/15/2020,30070,0,30070,1861
4/16/2020,32592,0,32592,2522
4/17/2020,35225,0,35225,2633
4/18/2020,37627,0,37627,2402
4/19/2020,39920,0,39920,2293
4/20/2020,41516,0,41516,1596
4/21/2020,43268,0,43268,1752
4/22/2020,45013,0,45013,1745
4/23/2020,48092,0,48092,3079
4/24/2020,50969,0,50969,2877
4/25/2020,53348,0,53348,2379
4/26/2020,54938,0,54938,1590
4/27/2020,56462,0,56462,1524
4/28/2020,58302,0,58302,1840
4/29/2020,60265,0,60265,1963
4/30/2020,62205,0,62205,1940
