Date,Male,Female,Unknown
3/15/2020,90,74,0
3/16/2020,104,93,0
3/17/2020,116,102,0
3/18/2020,137,119,0
3/19/2020,169,159,0
3/20/2020,218,195,0
3/21/2020,275,249,1
3/22/2020,338,308,0
3/23/2020,,,
3/24/2020,589,567,3
3/25/2020,933,903,2
3/26/2020,1218,1218,2
3/27/2020,1603,1623,14
3/28/2020,2067,2157,33
3/29/2020,2402,2519,34
3/30/2020,2759,2961,32
3/31/2020,3218,3369,33
4/1/2020,3733,3959,46
4/2/2020,4297,4612,57
4/3/2020,4974,5359,69
4/4/2020,5531,6124,81
4/5/2020,5901,6528,71
4/6/2020,6552,7249,36
4/7/2020,7161,7995,46
4/8/2020,7874,8872,44
4/9/2020,8776,9988,177
4/10/2020,9653,11094,227
4/11/2020,10443,12150,267
4/12/2020,11390,13315,770
4/13/2020,11954,14038,875
4/14/2020,12531,14750,882
4/15/2020,13250,15547,1121
4/16/2020,14176,16794,1211
4/17/2020,14991,17823,1588
4/18/2020,15773,18766,1833
4/19/2020,16909,20138,1030
4/20/2020,17434,20777,1432
4/21/2020,18151,21542,1506
4/22/2020,18921,22585,1438
4/23/2020,20250,24327,1446
4/24/2020,22385,27111,1473
4/25/2020,23412,28454,1482
4/26/2020,24118,29331,1489
4/27/2020,24804,30193,1465
4/28/2020,25593,31258,1451
4/29/2020,26434,32378,1453
4/30/2020,27374,33415,1416
